navaid_id,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg
86737,112300,070X,22.21990000,114.03000000
86738,115300,100X,-43.50420000,172.51500000
86754,116900,116X,,
86755,115600,103X,,
86759,114500,092X,,
86760,116500,112X,,
86761,111800,055X,,
86762,115900,106X,,
86763,116800,115X,,
86764,114100,088X,,
86768,110500,042X,,
86769,116200,109X,,
86770,113700,084X,,
86772,109000,027X,,
86774,117000,117X,,
86777,113500,082X,,
86781,114500,092X,,
86782,115200,099X,,
86789,113700,084X,,
86790,113500,082X,,
86791,113100,078X,,
86795,117300,120X,,
86796,109800,035X,,
86797,114100,088X,,
86798,115800,105X,,
86799,113600,083X,,
86804,116400,111X,,
86805,114300,090X,,
86808,112900,076X,,
86811,113200,079X,,
86815,113400,081X,,
86816,115600,103X,40.37180000,-2.54466000
86818,116700,114X,,
86819,116100,108X,,
86824,112600,073X,,
86826,116100,108X,,
86827,113600,083X,,
86828,113900,086X,,
86835,110600,043X,,
86836,115000,097X,,
86837,108850,025Y,,
86847,114900,096X,,
86849,116500,112X,,
86851,115350,100Y,41.64000000,2.63450000
86853,111200,049X,,
86855,113300,080X,,
86856,112900,076X,,
86857,114550,092Y,,
86858,115500,102X,,
86860,114900,096X,,
86861,110000,037X,,
86862,117550,122Y,39.70720000,-0.98643300
86863,115000,097X,,
86864,115900,106X,,
86870,116000,107X,40.86720000,-1.29797000
86871,116900,116X,,
86872,115800,105X,,
86873,117500,122X,,
86874,112600,073X,50.22320000,3.15089000
86875,116100,108X,,
86876,113000,077X,,
86877,110000,037X,,
86879,116600,113X,,
86883,111400,051X,,
86884,112900,076X,,
86887,114700,094X,,
86892,112800,075X,,
86903,114650,093Y,,
86907,112700,074X,,
86910,114400,091X,,
86911,113100,078X,,
86913,111200,049X,,
86919,116300,110X,,
86923,117300,120X,40.64600000,-3.73569000
86924,109200,029X,,
86926,115500,102X,,
86938,110050,037Y,,
86939,113600,083X,,
86942,111800,055X,,
86944,108800,025X,,
86947,115000,097X,,
86949,108800,025X,,
86950,117700,124X,,
86951,115400,101X,,
86957,114000,087X,-36.35430000,148.95800000
86958,112900,076X,,
86959,113000,077X,,
86960,117400,121X,,
86965,112700,074X,,
86970,115800,105X,,
86971,113700,084X,,
86973,110200,039X,,
86975,108200,019X,,
86989,109650,033Y,,
86990,116200,109X,,
86993,112000,057X,,
86994,110000,037X,,
86995,111600,053X,,
86998,114350,090Y,,
87011,114800,095X,,
87020,116500,112X,,
87022,133300,060X,,
87023,112000,057X,,
87026,117600,123X,33.81330000,-78.72440000
87028,114500,092X,,
87031,112300,070X,,
87032,112400,071X,,
87034,114600,093X,,
87035,109200,029X,49.25600000,2.51728000
87036,115700,104X,,
87037,114800,095X,,
87039,112800,075X,,
87041,117100,118X,,
87044,117300,120X,11.41330000,-69.68340000
87045,115500,102X,,
87046,115400,101X,,
87047,116900,116X,,
87051,117500,122X,,
87052,110200,039X,,
87055,113000,077X,,
87062,117100,118X,,
87063,117500,122X,,
87064,116750,114Y,,
87066,116300,110X,,
87067,115500,102X,,
87071,113300,080X,,
87072,116450,111Y,,
87077,114400,091X,,
87078,116500,112X,,
87080,116250,109Y,,
87081,108200,019X,,
87083,113400,081X,,
87084,112300,070X,,
87086,117600,123X,,
87088,112300,070X,,
87089,116300,110X,,
87091,116000,107X,,
87093,116500,112X,,
87094,115100,098X,,
87095,115700,104X,,
87096,115700,104X,,
87097,111800,055X,,
87099,112000,057X,,
87105,116300,110X,,
87109,113300,080X,,
87110,117100,118X,,
87112,112200,059X,,
87114,113300,080X,,
87115,114800,095X,,
87116,113600,083X,,
87121,111200,049X,,
87122,114100,088X,,
87123,114500,092X,,
87125,116500,112X,,
87126,108200,019X,,
87136,113800,085X,,
87137,112050,057Y,,
87139,113600,083X,35.72670000,140.80000000
87140,116200,109X,,
87141,117300,120X,,
87142,114600,093X,,
87146,113700,084X,,
87149,115200,099X,,
87150,115400,101X,,
87152,111600,053X,,
87153,115300,100X,,
87155,117200,119X,,
87166,112800,075X,,
87174,117400,121X,,
87177,115100,098X,,
87181,112700,074X,,
87182,112300,070X,,
87189,113400,081X,,
87191,115950,106Y,,
87193,113100,078X,,
87196,108600,023X,,
87200,116500,112X,,
87202,114500,092X,,
87206,116750,114Y,,
87207,114500,092X,,
87208,117300,120X,,
87210,112600,073X,,
87212,116300,110X,,
87214,112900,076X,,
87215,112000,057X,,
87236,109600,033X,,
87253,112700,074X,,
87256,113200,079X,,
87257,109700,034X,,
87258,108800,025X,,
87260,115300,100X,,
87261,114700,094X,,
87264,116000,107X,,
87266,108400,021X,,
87267,114400,091X,,
87269,112100,058X,,
87272,111200,049X,,
87273,113700,084X,,
87274,113700,084X,,
87275,114200,089X,,
87276,116900,116X,,
87277,117100,118X,,
87278,114500,092X,-9.07383000,143.21200000
87279,114300,090X,,
87281,116100,108X,,
87288,115700,104X,,
87289,115400,101X,,
87290,113000,077X,,
87291,113100,078X,,
87292,115800,105X,,
87295,116900,116X,,
87303,111000,047X,,
87307,114300,090X,,
87308,115200,099X,,
87309,112800,075X,,
87315,108200,019X,,
87316,116500,112X,,
87317,113900,086X,,
87318,108600,023X,,
87319,117200,119X,,
87321,116200,109X,,
87329,108200,019X,,
87334,113500,082X,,
87335,113800,085X,,
87336,117900,126X,,
87338,112400,071X,,
87340,117300,120X,,
87346,117500,122X,,
87352,114500,092X,33.67600000,130.38900000
87353,109400,031X,,
87354,108600,023X,,
87356,112900,076X,,
87357,112600,073X,42.45340000,-2.88059000
87358,114100,088X,,
87361,117200,119X,,
87362,116300,110X,,
87364,109900,036X,,
87365,116500,112X,,
87366,114500,092X,,
87367,113900,086X,,
87368,116100,108X,,
87370,112000,057X,,
87376,113600,083X,,
87377,113500,082X,,
87378,112900,076X,,
87379,114400,091X,,
87381,115900,106X,,
87382,113400,081X,,
87383,114300,090X,,
87386,116000,107X,,
87387,110000,037X,,
87392,114100,088X,,
87394,113600,083X,,
87396,111450,051Y,,
87404,117800,125X,,
87407,115800,105X,,
87408,114600,093X,,
87409,116200,109X,,
87410,113500,082X,,
87415,112900,076X,,
87416,112300,070X,,
87418,115200,099X,,
87419,114400,091X,,
87420,116400,111X,,
87421,112600,073X,,
87422,117000,117X,,
87423,112200,059X,,
87424,113000,077X,,
87436,117600,123X,,
87438,108600,023X,,
87439,116000,107X,,
87441,114500,092X,,
87442,108600,023X,,
87445,112600,073X,,
87452,113600,083X,,
96022,114300,090X,,
87455,115400,101X,,
87458,116200,109X,,
87460,112500,072X,,
87463,112500,072X,,
87464,111000,047X,,
87465,117200,119X,,
87466,112100,058X,,
87467,113100,078X,,
87483,113000,077X,,
87484,116500,112X,,
87485,112300,070X,,
87486,112400,071X,,
87487,112700,074X,,
87488,112700,074X,,
87490,115000,097X,,
87492,110550,042Y,,
87493,108650,023Y,,
87495,110000,037X,,
87496,114900,096X,,
87501,108400,021X,,
87504,117700,124X,,
87505,116100,108X,,
87506,116300,110X,-41.17030000,146.43400000
87508,116800,115X,,
87511,114500,092X,,
87512,114000,087X,,
87520,114800,095X,,
87521,115300,100X,,
87523,117300,120X,,
87524,114100,088X,,
87526,114350,090Y,,
87527,108200,019X,,
87530,117000,117X,,
87536,117600,123X,,
87537,117300,120X,,
87538,117500,122X,,
87542,116100,108X,,
87544,113900,086X,,
87546,111200,049X,,
87549,116400,111X,,
87550,114400,091X,-32.21970000,148.57800000
87556,115700,104X,,
87557,114900,096X,,
87558,111000,047X,,
87559,108800,025X,,
87560,117500,122X,,
87561,115150,098Y,,
87562,113900,086X,53.90470000,-166.54900000
87563,112700,074X,,
87566,109800,035X,,
87567,114600,093X,,
87571,114900,096X,,
87572,111000,047X,,
87574,114950,096Y,,
87575,114700,094X,,
87585,117700,124X,,
87586,134500,002X,,
87588,112000,057X,,
87592,109000,027X,,
87595,113400,081X,,
87601,109400,031X,,
87607,116800,115X,,
87608,133600,063X,,
87611,112500,115X,,
87613,113300,080X,,
87615,113500,082X,,
87621,110400,041X,55.96330000,-113.82300000
87632,111000,047X,,
87633,112900,076X,,
87641,116000,107X,,
87642,114700,094X,,
87644,110400,041X,,
87646,112500,072X,,
87648,114000,087X,,
87657,113400,081X,,
87660,114700,094X,,
87663,109400,031X,,
87665,111400,051X,,
87666,116400,111X,,
87669,115200,099X,,
87671,112400,071X,,
87672,109400,031X,,
87676,109400,031X,,
87677,112050,057Y,,
87690,115400,101X,,
87691,108150,018Y,,
87693,117200,119X,,
87695,117400,121X,,
87696,115100,098X,,
87697,115900,106X,,
87700,116300,110X,,
87701,114200,089X,,
87703,116750,114Y,,
87705,115200,099X,,
87713,116400,111X,,
87714,114700,094X,,
87715,114300,090X,,
87716,117200,119X,,
87718,115500,102X,,
87719,114700,094X,,
87720,108200,019X,,
87724,117900,126X,,
87725,117600,123X,,
87726,109600,033X,,
87729,115200,099X,,
87732,114500,092X,,
87734,108600,023X,,
87735,116600,113X,,
87736,110600,043X,,
87737,111400,051X,,
87742,111200,049X,,
87743,117900,126X,,
87745,112800,075X,,
87754,117600,123X,,
87755,115400,101X,,
87756,115400,101X,,
87757,117100,118X,,
87758,115700,104X,,
87759,114700,094X,,
87760,112300,070X,,
87761,115000,097X,,
87762,117800,125X,,
87763,115800,105X,,
87764,111400,051X,,
87765,112900,076X,,
87766,117100,118X,,
87767,112300,070X,,
87770,109200,029X,,
87771,115250,099Y,,
87777,113200,079X,,
87778,112000,057X,42.59370000,-5.64597000
87780,117300,120X,,
87781,112600,073X,,
87789,115650,103Y,,
87792,113700,084X,,
87800,117100,118X,,
87801,113600,083X,,
87803,115500,102X,,
87804,114900,096X,,
87805,113850,085Y,,
87807,113500,082X,,
87809,109400,031X,,
87811,114900,096X,,
87812,112700,074X,,
87817,116300,110X,-23.62560000,27.95560000
87818,108200,019X,,
87819,111400,051X,,
87820,115500,102X,,
87826,114900,096X,,
87827,110800,045X,,
87828,117900,126X,,
87831,114400,091X,,
87832,113500,082X,,
87833,110800,045X,,
87837,112500,072X,,
87838,114200,089X,-33.67860000,121.82200000
87841,117800,125X,,
87842,108200,019X,,
87844,112700,074X,,
87849,115700,104X,,
87852,116000,107X,,
87854,116600,113X,,
87855,110200,039X,,
87856,110200,039X,,
87859,109200,029X,31.95040000,-85.13040000
87860,112900,076X,,
87861,115200,099X,,
87867,117350,120Y,,
87869,108200,019X,,
87870,134000,067X,,
87872,109600,033X,,
87873,112400,071X,49.02850000,1.21403000
87878,113800,085X,,
87879,115800,105X,,
87881,112400,071X,,
87882,113600,083X,,
87883,110800,045X,,
87889,115600,103X,,
87891,113500,082X,,
87894,116500,112X,,
87899,114700,094X,,
87915,110900,046X,,
87916,113900,086X,,
87925,114900,096X,,
87926,110000,037X,,
87927,108600,023X,,
87928,113300,080X,,
87929,109800,035X,,
87931,115700,104X,,
87932,116200,109X,,
87935,108800,025X,,
87961,108200,019X,,
87940,108600,023X,,
87947,113200,079X,,
87949,111800,055X,,
87950,108800,025X,,
87957,114400,091X,,
87967,115700,104X,,
87973,113400,081X,,
87976,114200,089X,,
87977,110400,041X,,
87978,115200,099X,,
87980,116600,113X,,
87982,116700,114X,,
87986,115700,104X,,
87992,112500,072X,,
87993,112600,073X,,
88000,112500,072X,,
88001,116700,114X,-6.61567000,147.85900000
88010,117500,122X,,
88011,113900,086X,,
88013,114700,094X,,
88014,114450,091Y,,
88015,109600,033X,,
88024,113450,081Y,,
88025,116300,110X,,
88027,110600,043X,,
88030,115300,100X,,
88034,112400,071X,,
88035,117150,118Y,,
88037,114500,092X,,
88038,114000,087X,,
88039,113850,085Y,,
88041,114400,091X,,
88042,117000,117X,,
88044,115200,099X,,
88045,112050,057Y,,
88046,112300,070X,,
88048,112800,075X,,
88049,112200,059X,44.50110000,25.70860000
88051,115550,102Y,,
88055,117500,122X,,
88056,114100,088X,,
88061,110400,041X,,
88062,117900,126X,,
88063,115800,105X,,
88065,112400,071X,,
88066,113000,077X,,
88078,109000,027X,,
88082,113700,084X,,
88083,116900,116X,,
88094,116800,115X,,
88095,113500,082X,,
88096,111600,053X,,
88097,113300,080X,,
88101,111000,047X,,
88106,114000,087X,,
88107,111200,049X,,
88110,112100,058X,,
88118,116300,110X,,
88119,117400,121X,,
88120,114400,091X,,
88130,115600,103X,,
88134,115900,106X,,
88135,113500,082X,,
88138,110850,045Y,,
88139,109850,035Y,,
88140,114100,088X,,
88141,110200,039X,,
88143,115600,103X,,
88144,113300,080X,,
88148,117150,118Y,,
88149,111400,051X,,
88150,116100,108X,,
88152,115200,099X,,
88158,115600,103X,,
88161,115000,097X,,
88163,116400,111X,,
88166,110400,041X,,
88167,115000,097X,,
88169,116900,116X,,
88175,117300,120X,,
88176,109600,033X,,
88177,113500,082X,39.66610000,-8.49333000
88182,112400,071X,,
88183,114100,088X,28.43090000,-13.86450000
88184,110800,045X,,
88189,113300,080X,,
88190,115800,105X,,
88192,112100,058X,,
88193,112200,059X,32.74690000,-16.70560000
88195,115700,104X,,
88204,117800,125X,,
88206,113300,080X,,
88214,108400,021X,,
88219,117300,120X,,
88220,114400,091X,,
88221,113700,084X,,
88226,111400,051X,,
88243,115400,101X,,
88246,115800,105X,,
88247,112300,070X,,
